"stationId";"latitude";"longitude";"city";"state";"country";"url";"frecuency";"alias";"postalcode"
"1";20.61504998;"-103.3434302";"Guadalajara";"Jalisco";"México";"https://api.waqi.info/feed/mexico/guadalajara/miravalle/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Miravalle";""
"10";20.69904828;"-103.2966768";"Guadalajara";"Jalisco";"México";"https://api.waqi.info/feed/mexico/jalisco/oblatos/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Oblatos";""
"11";19.154674;"-99.162459";"cdmx";"cdmx";"México";"https://api.waqi.info/feed/mexico/mexico/ajusco/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"El Ajusco";""
"12";19.246459;"-99.010564";"Estado de México";"Estado de México";"México";"https://api.waqi.info/feed/mexico/mexico/tlahuac/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Tláhuac";""
"13";19.294298;"-99.655297";"Toluca";"Estado de México";"México";"https://api.waqi.info/feed/mexico/toluca/toluca-centro/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Centro";""
"14";19.2604138;"-99.6456138";"Toluca";"Estado de México";"México";"https://api.waqi.info/feed/mexico/toluca/ceboruco/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"cerobuco";""
"15";25.7815621;"-100.18759";"Apodaca";"Nuevo Leon";"México";"https://api.waqi.info/feed/mexico/nuevo-leon/apodaca/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Apodaca";""
"16";25.7779954;"-100.3775906";"Monterrey";"Nuevo León";"México";"https://api.waqi.info/feed/mexico/nuevo-leon/metrorrey/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"metrorrey";""
"17";25.78021;"-100.31611";"Escobedo";"Nuevo León";"México";"https://api.waqi.info/feed/mexico/nuevo-leon/escobedo/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Escobedo";""
"18";25.6516471;"-100.1059194";"Juarez";"Nuevo León";"México";"https://api.waqi.info/feed/mexico/nuevo-leon/juarez/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"Juárez";""
"19";25.6573447;"-100.4017501";"San Pedro";"Nuevo León";"México";"https://api.waqi.info/feed/mexico/nuevo-leon/s.-pedro/?token=9a4f847642d43d50ea1a499f14a9cd88061687d1";1.0;"San Pedro";""
